Date,Open,High,Low,Close,Volume
2017-02-23,70.32,71.23,69.92,70.95,733254
2017-02-24,70.62,71.45,69.56,71.19,2595742
2017-02-27,71.06,72.05,70.73,71.7,1551357
2017-02-28,71.47,71.54,69.89,70.35,4661100
2017-03-01,69.73,70.56,68.37,68.4,27408790
2017-03-02,69.23,69.85,68.4,69.13,3453408
2017-03-03,68.59,68.63,66.76,67.74,3126786
2017-03-06,67.37,67.5,66.39,66.63,1818358
2017-03-07,66.8,67.09,65.49,65.72,1618124
2017-03-08,65.2,65.46,63.92,64.78,1839073
2017-03-09,64.61,65.04,62.91,62.95,1700475
2017-03-10,63.61,63.68,61.9,62.58,2390091
2017-03-13,62.59,63.76,62.5104,63.72,3215756
2017-03-14,63.35,65.17,63.07,64.85,2610220
2017-03-15,64.89,67.24,64.56,66.77,2616137
2017-03-16,66.59,66.81,66.19,66.48,1089133
2017-03-17,66.48,66.93,66.02,66.91,4358355
2017-03-20,66.9,67.44,66.62,66.77,1052941
2017-03-21,66.9,67.29,66.47,66.7,1660330
2017-03-22,66.78,66.815,65.62,66.33,1116831
2017-03-23,66.24,67.67,66.19,67.27,1143063
2017-03-24,67.25,67.66,66.99,67.11,814645
2017-03-27,67.21,67.78,66.15,66.45,979711
2017-03-28,66.35,66.81,65.57,66.62,818679
2017-03-29,66.51,66.98,66.26,66.47,1112276
2017-03-30,66.39,66.67,65.96,66.5,726436
2017-03-31,66.6,66.84,66.35,66.39,1225089
2017-04-03,66.43,67.13,66.15,66.45,1446811
2017-04-04,66.49,66.92,66.23,66.35,1212234
2017-04-05,66.44,66.64,66.08,66.13,1427272
2017-04-06,66.08,66.37,65.73,66.03,1090850
2017-04-07,66.03,66.46,65.925,66.07,1001101
2017-04-10,65.97,66.855,65.79,66.69,757651
2017-04-11,66.72,67.53,66.69,67.21,867652
2017-04-12,67.24,67.57,66.98,67.35,720475
2017-04-13,67.39,67.65,66.84,67.31,654415
2017-04-17,67.53,67.89,67.2201,67.83,546683
2017-04-18,67.85,68.4,67.59,68.31,641655
2017-04-19,68.28,69.07,68.19,68.49,911445
2017-04-20,68.53,68.6599,67.94,68.44,539550
2017-04-21,68.39,68.43,67.4,67.47,606863
2017-04-24,68.06,68.06,65.17,65.24,1154222
2017-04-25,65.26,65.63,64.97,65.16,904086
2017-04-26,64.95,65.18,64.05,64.07,896273
2017-04-27,65.12,65.12,63.79,63.88,795730
2017-04-28,63.72,63.72,62.9,63.18,914716
2017-05-01,63.56,63.99,62.57,63.51,989031
2017-05-02,63.59,64.7105,63.46,64.24,938014
2017-05-03,64.41,64.43,62.95,63.11,777556
2017-05-04,62.83,62.85,61.51,62.55,1045421
2017-05-05,62.61,63.29,62.27,62.67,729122
2017-05-08,62.79,62.85,61.38,61.49,936228
2017-05-09,61.57,61.69,60.85,61.53,1121057
2017-05-10,61.66,63.57,61.66,62.93,2012324
2017-05-11,62.54,62.615,61.34,62.24,2335910
2017-05-12,62.49,62.49,60.53,60.72,1248457
2017-05-15,60.67,61.42,60.51,60.96,2076687
2017-05-16,60.85,60.85,58.823,58.96,1795577
2017-05-17,58.63,60.64,58.63,60.24,1938094
2017-05-18,59.59,60.44,59.195,60.24,1673164
2017-05-19,60.11,61.42,59.7,60.63,1702434
2017-05-22,60.63,61.33,60.38,60.76,1454637
2017-05-23,60.83,61.13,60.515,60.76,1026014
2017-05-24,60.88,62.15,60.74,61.97,1345863
2017-05-25,62.26,62.75,61.82,62.48,1065987
2017-05-26,62.62,63.01,61.77,62.0,1236382
2017-05-30,61.96,62.21,60.67,60.69,1211126
2017-05-31,60.48,61.17,60.07,60.86,1962961
2017-06-01,60.64,61.17,60.17,60.94,1188464
2017-06-02,61.26,61.93,60.73,60.91,874997
2017-06-05,60.67,60.85,60.01,60.2,848338
2017-06-06,60.25,61.69,59.77,61.16,1019381
2017-06-07,61.22,62.8,61.22,62.16,1345592
2017-06-08,62.33,62.49,61.49,61.81,1144435
2017-06-09,61.75,62.74,61.22,62.37,758418
2017-06-12,62.67,63.92,62.4,63.86,1191895
2017-06-13,63.56,64.34,63.06,63.89,841913
2017-06-14,64.53,64.67,63.09,63.49,733750
2017-06-15,63.12,64.11,63.12,64.06,1039450
2017-06-16,64.26,65.25,61.0,61.45,4343573
2017-06-19,61.39,61.39,59.86,60.23,2649729
2017-06-20,60.23,60.57,59.205,59.76,1952028
2017-06-21,59.78,60.42,59.3,59.97,1849855
2017-06-22,59.76,60.48,59.37,60.28,1409346
2017-06-23,60.29,61.42,60.29,61.07,1631454
2017-06-26,61.08,62.82,61.02,62.45,1483186
2017-06-27,62.29,62.68,61.81,62.31,1082187
2017-06-28,62.59,63.52,62.46,63.15,1096006
2017-06-29,62.87,63.82,62.63,62.98,1339513
2017-06-30,63.29,63.82,62.37,62.64,1455484
2017-07-03,62.86,63.95,62.51,63.81,495243
2017-07-05,63.74,63.88,62.43,62.65,1107702
2017-07-06,62.4,62.73,61.49,61.71,978172
2017-07-07,61.82,62.51,61.58,62.38,665534
2017-07-10,62.49,62.66,61.44,61.44,691765
2017-07-11,61.64,61.7,60.8,61.4,644345
2017-07-12,61.74,63.08,61.74,62.16,739802
2017-07-13,62.09,62.83,62.0,62.45,798692
2017-07-14,62.56,63.73,62.56,63.55,857658
2017-07-17,63.64,64.25,63.41,63.96,805254
2017-07-18,63.93,64.14,63.39,63.58,715397
2017-07-19,63.59,64.49,63.48,64.48,592208
2017-07-20,64.61,64.88,64.22,64.5,401417
2017-07-21,64.54,64.82,63.63,64.23,499782
2017-07-24,64.31,64.52,63.48,64.31,594482
2017-07-25,64.45,64.92,63.8486,64.89,613020
2017-07-26,64.81,65.83,64.71,65.67,723644
